2022-07-13 15:41:21.679 [http-nio-8081-exec-7] WARN  com.tagging.exception.GlobalExceptionHandler - 无token
2022-07-13 15:41:51.570 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898471255080960. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:42:04.750 [http-nio-8081-exec-10] WARN  com.tagging.exception.GlobalExceptionHandler - 无token
2022-07-13 15:42:36.689 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898471632568320. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:42:45.445 [http-nio-8081-exec-10] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 15:43:08.944 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898471901003776. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:44:14.301 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898472454651904. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:47:42.676 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898474199482368. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:49:51.478 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898475281612800. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:51:50.806 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898476279857152. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:53:54.501 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898477320044544. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:54:26.890 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898477588480000. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:55:10.592 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898477957578752. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:56:09.890 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898478452506624. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:58:10.702 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898479467528192. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 15:59:06.803 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898479937290240. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 16:00:44.703 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898480759373824. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 16:01:23.277 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898481086529536. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 16:02:30.393 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898481648566272. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 16:03:16.244 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898482034442240. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 16:04:51.060 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898482831360000. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 16:28:23.068 [main] WARN  com.github.wujun234.uid.buffer.RingBuffer - Rejected putting buffer for uid:898494676074496. RingBuffer [bufferSize=1024, tail=1023, cursor=-1, paddingThreshold=512]
2022-07-13 16:30:07.463 [http-nio-8081-exec-1] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:38:13.353 [http-nio-8081-exec-4] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:38:13.353 [http-nio-8081-exec-3] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:38:13.355 [http-nio-8081-exec-1] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:38:13.412 [http-nio-8081-exec-5] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:39:00.771 [http-nio-8081-exec-3] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:39:00.773 [http-nio-8081-exec-7] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:39:00.773 [http-nio-8081-exec-9] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:39:00.775 [http-nio-8081-exec-6] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:39:55.677 [http-nio-8081-exec-8] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:39:55.804 [http-nio-8081-exec-7] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:40:44.507 [http-nio-8081-exec-3] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:40:44.507 [http-nio-8081-exec-6] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:40:44.507 [http-nio-8081-exec-9] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:40:44.507 [http-nio-8081-exec-4] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:44:44.810 [http-nio-8081-exec-2] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
2022-07-13 16:44:44.810 [http-nio-8081-exec-8] WARN  com.tagging.exception.GlobalExceptionHandler - token解密错误
